Q_type,Answer,COUNTY_NAME,DATE_NAME,COUNTY_RELATION,CHANGE_TYPE,COUNTY_NAME_2,STATE_NAME,GEO_RELATION,PREDICATE,Questions Templates
Q1,COUNTY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,end_date,[ 'Which counties do not exist anymore?']
Q1,COUNTY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,start_date,['Return all the counties of the dataset.']
Q1,COUNTY,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,end_date,['Which counties have been extinct DATE_NAME?']
Q1,COUNTY,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,start_date,['List the counties founded DATE_NAME.']
Q1,DATE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,end_date,[ 'When did COUNTY_NAME come to an end?']
Q1,DATE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,start_date,['When was COUNTY_NAME founded?']
Q12,CHANGE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,"[ 'DATE_NAME, what changes took place as a result of an event?']"
Q12,EVENT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,['Return the occasions that affected in a way a geospatial entity.']
Q12,EVENT,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,None,['Name the events which caused the CHANGE_TYPE.noun of an area.']
Q12,EVENT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,['Show the events that changed the territory of a county or a state DATE_NAME.']
Q12,EVENT,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None,['List the events that caused a CHANGE_TYPE DATE_NAME.']
Q13,EVENT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,['List the events which had an impact on COUNTY_NAME.' ]
Q13,EVENT,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,None,['Name the events which CHANGE_TYPE COUNTY_NAME.']
Q13,EVENT,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,['List the events which caused a change in COUNTY_NAME DATE_NAME']
Q13,EVENT,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None,['List the events which caused the CHANGE_TYPE.noun of COUNTY_NAME DATE_NAME.']
Q18,COUNTY,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,None,['Which counties COUNTY_RELATION.verb COUNTY_NAME?']
Q18,COUNTY,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,['Which counties COUNTY_RELATION.past COUNTY_NAME DATE_NAME?']
Q18,DATE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,None,['When did COUNTY_NAME COUNTY_RELATION COUNTY_NAME_2?']
Q22,AREA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,None,['What were the area of the counties GEO_RELATION COUNTY_NAME DATE_NAME?']
Q22,COUNTY,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,None,['List the counties GEO_RELATION COUNTY_NAME DATE_NAME.']
Q22,COUNTY,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,None,"['DATE_NAME, which counties GEO_RELATION COUNTY_NAME COUNTY_RELATION.past it?']"
Q22,GEOMETRY,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,None,['What was the area of the counties that were GEO_RELATION COUNTY_NAME DATE_NAME?']
Q22,GEOMETRY,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,None,['What was the geometry of the counties that were GEO_RELATION COUNTY_NAME DATE_NAME?']
Q23,CHANGE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,None,['Name the changes which had an impact on the counties COUNTY_RELATION.gerund COUNTY_NAME.']
Q23,CHANGE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,None,['What changes caused counties that COUNTY_RELATION.past COUNTY_NAME to CHANGE_TYPE?']
Q23,CHANGE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,['Which changes affected counties which COUNTY_RELATION.past COUNTY_NAME DATE_NAME?']
Q23,CHANGE_TYPE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,None,['Return all the different types of changes which had an impact on counties COUNTY_RELATION.gerund COUNTY_NAME.']
Q23,CHANGE_TYPE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,['Return all the different types of changes which had an impact on counties COUNTY_RELATION.gerund COUNTY_NAME DATE_NAME.']
Q23,COUNTY,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,None,['Which counties that COUNTY_RELATION.past COUNTY_NAME changed?']
Q23,COUNTY,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,None,['Which counties that COUNTY_RELATION.past COUNTY_NAME have CHANGE_TYPE?']
Q23,COUNTY,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,['Return the counties COUNTY_RELATION.gerund COUNTY_NAME that went through a modification DATE_NAME.']
Q23,COUNTY,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,"['DATE_NAME, which counties that COUNTY_RELATION.past COUNTY_NAME CHANGE_TYPE?']"
Q23,DATE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,None,['When did counties COUNTY_RELATION.gerund COUNTY_NAME CHANGE_TYPE?']
Q26,EVENT,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,None,['Which event had an impact on both COUNTY_NAME and COUNTY_NAME_2?']
Q26,EVENT,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,None,"['What incident caused COUNTY_NAME to CHANGE_TYPE with COUNTY_NAME_2?', 
'Why did COUNTY_NAME CHANGE_TYPE.past with COUNTY_NAME_2?',  'What event had led COUNTY_NAME to CHANGE_TYPE with COUNTY_NAME_2?']"
Q26,EVENT,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,None,['Return any events that occurred between COUNTY_NAME and its COUNTY_RELATION.gerund counties.']
Q26,EVENT,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,None,['What event had led COUNTY_NAME to CHANGE_TYPE with its COUNTY_RELATION counties?']
Q26,EVENT,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,None,['Which event resulted in COUNTY_NAME CHANGE_TYPE.gerund with COUNTY_NAME_2 DATE_NAME?']
Q26,EVENT,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,"['DATE_NAME, give me the incidents that caused CHANGE_TYPE.gerund to both COUNTY_NAME and its COUNTY_RELATION counties.']"
Q28,AREA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,None,['What was the size of counties that COUNTY_RELATION.past COUNTY_NAME after their CHANGE_TYPE?']
Q28,GEOMETRY,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,None,['Which were the geometries of the counties that COUNTY_RELATION.past COUNTY_NAME before their CHANGE_TYPE.noun?']
Q28,GEOMETRY,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,['Return the geometry of the counties that COUNTY_RELATION.past COUNTY_NAME and were CHANGE_TYPE.past DATE_NAME.']
Q28,GEOMETRY,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,['How did the geometry of the counties COUNTY_RELATION.gerund COUNTY_NAME changed by the CHANGE_TYPE DATE_NAME.']
Q3,AREA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,['What did the area of COUNTY_NAME change through history?']
Q3,AREA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,['What was the area of COUNTY_NAME DATE_NAME?']
Q3,GEOMETRY,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,['What was the geometry of COUNTY_NAME DATE_NAME.']
