state,date,ch1,ch_type,geo,event
http://time-space-event.com/resource/State/Alabama,"""1820-05-29""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Alabama_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Alabama_2/Geometry/6,http://time-space-event.com/resource/event/state/id/7
http://time-space-event.com/resource/State/Alabama,"""1820-12-19""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Alabama_3,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Alabama_3/Geometry/7,http://time-space-event.com/resource/event/state/id/8
http://time-space-event.com/resource/Territory/Alabama_Territory,"""1818-02-06""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Alabama_Territory_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Alabama_Territory_2/Geometry/9,http://time-space-event.com/resource/event/state/id/10
http://time-space-event.com/resource/State/Arkansas,"""1840-05-21""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Arkansas_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Arkansas_2/Geometry/11,http://time-space-event.com/resource/event/state/id/12
http://time-space-event.com/resource/Territory/Arkansas_Territory,"""1824-05-26""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Arkansas_Territory_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Arkansas_Territory_2/Geometry/13,http://time-space-event.com/resource/event/state/id/14
http://time-space-event.com/resource/Territory/Arkansas_Territory,"""1828-05-06""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Arkansas_Territory_3,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Arkansas_Territory_3/Geometry/14,http://time-space-event.com/resource/event/state/id/15
http://time-space-event.com/resource/Territory/Arizona_Territory,"""1866-05-05""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Arizona_Territory_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Arizona_Territory_2/Geometry/17,http://time-space-event.com/resource/event/state/id/18
http://time-space-event.com/resource/State/California,"""1959-12-31""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_California_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/California_2/Geometry/19,http://time-space-event.com/resource/event/state/id/20
http://time-space-event.com/resource/State/Connecticut,"""1786-09-14""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Connecticut_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Connecticut_2/Geometry/23,http://time-space-event.com/resource/event/state/id/24
http://time-space-event.com/resource/State/Connecticut,"""1800-04-28""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Connecticut_3,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Connecticut_3/Geometry/24,http://time-space-event.com/resource/event/state/id/25
